"ID";"Latitude";"Insolacao";"Longitude";"Estado";"Cidade";"Estacao";"Verao";"AnoNasc";"Idade";"Sexo";"Coleta";"HO";"p01";"p02";"p03";"p04";"p05";"p06";"p07";"p08";"p09";"p10";"p11";"p12";"p13";"p14";"p15";"p16";"p17";"p18";"p19"
"12";-1,45;384;-48,5;"PA";"Belem, PA";"inv";"Nao";1985;22;"masculino";2005-06-01;28;"2";"2";"1";"2";"2";"1";"1";"1";"3";"2";"0";"2";"1";"2";"1";"2";"1";"2";"0"
"13";-1,45;423;-48,5;"PA";"Belem, PA";"inv";"Nao";1947;60;"feminino";2005-04-01;34;"2";"2";"3";"1";"2";"4";"1";"4";"1";"1";"0";"0";"1";"3";"1";"3";"2";"3";"0"
"14";-1,45;423;-48,5;"PA";"Belem , PA";"inv";"Nao";1965;42;"feminino";2006-04-01;51;"3";"3";"4";"3";"3";"2";"3";"2";"3";"2";"6";"2";"2";"3";"1";"3";"3";"3";"0"
"15";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1986;21;"masculino";2006-09-01;39;"1";"1";"2";"3";"2";"2";"1";"2";"4";"1";"6";"2";"3";"1";"2";"1";"3";"2";"0"
"16";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1954;53;"feminino";2006-09-01;29;"1";"1";"2";"1";"4";"3";"4";"1";"1";"1";"0";"2";"1";"1";"2";"1";"1";"2";"0"
"17";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1983;24;"masculino";2006-09-01;58;"3";"2";"4";"4";"4";"3";"3";"3";"3";"2";"6";"0";"4";"1";"4";"3";"3";"2";"4"
"18";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1966;41;"masculino";2006-09-01;68;"5";"4";"4";"4";"4";"2";"4";"2";"4";"3";"6";"2";"1";"4";"4";"2";"3";"4";"6"
"19";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1964;43;"feminino";2006-09-01;44;"2";"3";"2";"3";"2";"4";"1";"1";"3";"3";"0";"3";"1";"2";"4";"4";"1";"3";"2"
"20";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1961;46;"feminino";2006-09-01;59;"4";"2";"1";"3";"3";"3";"3";"2";"4";"2";"6";"2";"2";"4";"4";"3";"3";"4";"4"
"21";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1955;52;"masculino";2006-09-01;61;"4";"3";"3";"3";"3";"1";"2";"4";"2";"5";"6";"2";"4";"4";"1";"3";"3";"4";"4"
"22";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1970;37;"feminino";2006-09-01;41;"3";"3";"1";"2";"1";"1";"1";"4";"3";"2";"4";"0";"1";"3";"1";"4";"3";"2";"2"
"23";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1986;21;"masculino";2006-09-01;45;"1";"5";"1";"1";"1";"1";"1";"4";"3";"4";"2";"2";"1";"1";"2";"3";"1";"5";"6"
"24";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1977;30;"feminino";2006-09-01;50;"3";"3";"4";"2";"1";"1";"1";"2";"3";"5";"4";"2";"4";"2";"1";"3";"3";"4";"2"
"25";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1966;41;"masculino";2006-09-01;54;"3";"3";"3";"3";"4";"4";"2";"2";"2";"3";"6";"3";"1";"3";"1";"4";"3";"2";"2"
"26";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1987;20;"feminino";2006-09-01;52;"3";"3";"1";"2";"2";"1";"2";"2";"3";"3";"6";"3";"2";"3";"4";"1";"3";"4";"4"
"27";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1985;22;"feminino";2006-09-01;32;"1";"1";"2";"2";"3";"2";"2";"1";"2";"1";"0";"3";"3";"1";"1";"2";"2";"3";"0"
"28";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1985;22;"masculino";2006-09-01;46;"3";"2";"1";"3";"3";"1";"3";"1";"3";"2";"0";"5";"1";"3";"4";"4";"1";"2";"4"
"29";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1989;18;"feminino";2006-09-01;65;"4";"3";"4";"3";"4";"2";"3";"2";"4";"3";"6";"3";"3";"3";"4";"3";"3";"4";"4"
"30";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1987;20;"feminino";2006-09-01;24;"1";"1";"1";"1";"1";"3";"1";"1";"1";"2";"4";"0";"1";"1";"1";"1";"1";"2";"0"
"31";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1985;22;"masculino";2006-09-01;51;"3";"3";"2";"2";"3";"3";"2";"2";"3";"3";"2";"3";"3";"3";"4";"4";"1";"5";"0"
"32";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1983;24;"masculino";2006-09-01;34;"1";"1";"2";"2";"3";"3";"3";"1";"1";"2";"2";"0";"2";"1";"1";"3";"1";"3";"2"
"33";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1978;29;"masculino";2006-09-01;63;"4";"4";"4";"3";"3";"2";"2";"4";"4";"3";"6";"2";"3";"4";"1";"3";"3";"4";"4"
"34";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1985;22;"feminino";2006-09-01;43;"2";"2";"1";"1";"2";"4";"1";"1";"3";"1";"6";"3";"2";"2";"3";"2";"2";"3";"2"
"35";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1981;26;"masculino";2006-09-01;41;"2";"3";"3";"1";"1";"3";"2";"1";"2";"5";"4";"3";"2";"4";"1";"1";"1";"2";"0"
"36";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1980;27;"feminino";2006-09-01;43;"3";"3";"1";"2";"2";"3";"2";"2";"2";"3";"6";"3";"1";"2";"1";"2";"3";"2";"0"
"37";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1979;28;"feminino";2006-09-01;52;"3";"2";"4";"3";"1";"2";"4";"2";"4";"1";"4";"2";"4";"2";"3";"4";"3";"2";"2"
"38";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1975;32;"feminino";2006-09-01;44;"3";"2";"2";"2";"3";"2";"3";"2";"2";"3";"4";"3";"1";"2";"3";"2";"3";"2";"0"
"39";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1969;38;"masculino";2006-09-01;36;"3";"3";"1";"2";"3";"2";"2";"2";"2";"2";"0";"2";"2";"2";"4";"1";"2";"1";"0"
"40";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1981;26;"masculino";2006-09-01;53;"3";"3";"1";"3";"3";"4";"3";"3";"1";"3";"6";"3";"1";"3";"1";"3";"3";"2";"4"
"41";-1,45;429;-48,5;"PA";"Para, PA";"out";"Nao";1985;22;"feminino";2006-09-01;46;"3";"3";"1";"3";"4";"3";"3";"2";"3";"2";"0";"2";"3";"4";"2";"1";"3";"2";"2"
"42";-1,45;429;-48,5;"PA";"Belem, PA";"out";"Nao";1987;20;"feminino";2006-09-01;39;"3";"3";"1";"1";"2";"1";"2";"2";"1";"3";"6";"2";"1";"1";"2";"4";"2";"2";"0"
"43";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1955;52;"feminino";2006-10-01;77;"5";"4";"4";"4";"4";"4";"4";"2";"4";"4";"6";"3";"3";"4";"4";"4";"3";"5";"6"
"44";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1984;23;"feminino";2006-10-01;59;"4";"3";"1";"3";"2";"4";"1";"1";"2";"5";"6";"5";"2";"3";"4";"2";"3";"4";"4"
"45";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1975;32;"feminino";2006-10-01;49;"3";"2";"2";"1";"3";"1";"1";"1";"1";"4";"6";"5";"2";"2";"3";"2";"2";"4";"4"
"46";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1975;32;"feminino";2006-10-01;55;"4";"3";"4";"3";"4";"2";"3";"2";"1";"3";"6";"2";"2";"1";"1";"4";"3";"3";"4"
"47";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1968;39;"feminino";2006-10-01;74;"5";"3";"4";"4";"4";"3";"4";"4";"4";"4";"6";"0";"4";"4";"4";"4";"3";"4";"6"
"48";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1985;22;"feminino";2006-10-01;35;"2";"2";"1";"1";"2";"2";"2";"2";"2";"3";"0";"5";"1";"2";"1";"2";"3";"2";"0"
"49";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1954;53;"masculino";2005-10-01;66;"5";"4";"2";"4";"4";"4";"4";"3";"4";"4";"6";"2";"1";"4";"1";"4";"2";"4";"4"
"50";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1971;36;"feminino";2006-10-01;74;"5";"3";"3";"4";"3";"3";"3";"2";"4";"5";"6";"5";"3";"3";"4";"4";"3";"5";"6"
"51";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1978;29;"feminino";2006-10-01;48;"2";"2";"3";"2";"3";"4";"2";"2";"4";"5";"2";"5";"1";"2";"2";"1";"1";"3";"2"
"52";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1978;29;"feminino";2006-10-01;27;"1";"4";"1";"1";"1";"1";"1";"1";"1";"4";"0";"2";"1";"1";"1";"1";"1";"2";"2"
"53";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1986;21;"feminino";2006-10-01;42;"2";"1";"1";"2";"4";"4";"3";"1";"4";"2";"6";"0";"1";"1";"4";"1";"1";"2";"2"
"54";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1984;23;"feminino";2006-10-01;64;"4";"4";"4";"4";"3";"1";"2";"4";"4";"4";"6";"3";"2";"2";"4";"2";"3";"4";"4"
"55";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1980;27;"feminino";2006-10-01;62;"3";"3";"4";"3";"4";"4";"4";"3";"3";"3";"6";"3";"3";"2";"4";"3";"2";"3";"2"
"56";-1,45;434;-48,5;"PA";"Belem, PA";"prim";"Nao";1961;46;"feminino";2006-10-01;63;"5";"3";"2";"2";"3";"2";"4";"4";"4";"3";"6";"2";"3";"1";"4";"2";"3";"4";"6"
"57";-1,45;437;-48,5;"PA";"Belem, PA";"ver";"Nao";1980;27;"feminino";2005-02-01;46;"3";"3";"2";"2";"2";"3";"2";"3";"2";"4";"4";"2";"1";"1";"3";"1";"3";"3";"2"
"58";-1,45;437;-48,5;"PA";"Belem, PA";"ver";"Nao";1975;32;"feminino";2005-02-01;44;"3";"3";"1";"3";"4";"2";"4";"2";"1";"2";"6";"2";"1";"1";"1";"3";"3";"2";"0"
"59";-1,45;437;-48,5;"PA";"Belem, PA";"ver";"Nao";1967;40;"feminino";2005-02-01;39;"2";"2";"1";"1";"2";"2";"2";"2";"2";"3";"4";"5";"2";"1";"1";"1";"1";"3";"2"
"60";-1,45;437;-48,5;"PA";"Belem, PA";"ver";"Nao";1961;46;"feminino";2005-02-01;61;"5";"4";"3";"2";"2";"3";"2";"3";"3";"5";"6";"5";"1";"1";"1";"3";"3";"5";"4"
"61";-1,45;437;-48,5;"PA";"Belem, PA";"ver";"Nao";1956;51;"feminino";2005-02-01;59;"3";"3";"4";"4";"4";"1";"3";"2";"4";"4";"6";"3";"3";"2";"1";"1";"3";"2";"6"
"62";-1,45;437;-48,5;"PA";"Belem, PA";"ver";"Nao";1975;32;"feminino";2005-02-01;59;"3";"3";"3";"3";"4";"4";"4";"2";"3";"3";"6";"2";"2";"1";"4";"3";"1";"4";"4"
"63";-1,45;437;-48,5;"PA";"Belem, PA";"ver";"Nao";1976;31;"feminino";2005-02-01;51;"4";"3";"1";"1";"3";"2";"2";"2";"2";"4";"6";"3";"1";"3";"4";"2";"3";"3";"2"
"64";-1,45;437;-48,5;"PA";"Belem, PA";"ver";"Nao";1983;24;"feminino";2005-02-01;48;"2";"2";"3";"3";"3";"1";"2";"2";"3";"3";"6";"3";"1";"1";"2";"3";"3";"3";"2"
"65";-1,45;437;-48,5;"PA";"Belem, PA";"ver";"Nao";1969;38;"feminino";2005-02-01;43;"2";"2";"2";"2";"3";"4";"1";"3";"3";"3";"2";"3";"2";"2";"1";"2";"2";"2";"2"
"66";-1,45;437;-48,5;"PA";"Belem, PA";"ver";"Nao";1968;39;"feminino";2006-02-01;28;"1";"1";"2";"2";"1";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"2";"1";"2";"0"
"67";-1,45;439;-48,5;"PA";"Belem, PA";"ver";"Nao";1975;32;"masculino";2005-03-01;62;"3";"3";"3";"3";"3";"4";"2";"1";"2";"3";"6";"5";"3";"4";"1";"4";"3";"3";"6"
"68";-1,45;439;-48,5;"PA";"Belem, PA";"ver";"Nao";1975;32;"feminino";2005-03-01;64;"3";"5";"4";"1";"2";"2";"3";"4";"3";"5";"6";"5";"4";"2";"2";"3";"3";"3";"4"
"69";-1,52;428;-52,58;"PA";"Almeirim, PA";"out";"Nao";1974;33;"feminino";2006-09-01;53;"3";"3";"4";"4";"3";"3";"4";"3";"1";"3";"0";"0";"3";"4";"4";"3";"3";"3";"2"
"70";-1,62;428;-47,48;"PA";"Sao Miguel do Guamma, PA";"out";"Nao";1960;47;"masculino";2006-09-01;43;"3";"3";"1";"3";"2";"4";"3";"2";"2";"3";"0";"2";"2";"2";"1";"1";"3";"4";"2"
"71";-1,76;435;-55,86;"PA";"Oriximina, PA";"prim";"Nao";1983;24;"masculino";2006-10-01;58;"3";"3";"3";"3";"3";"4";"3";"4";"3";"4";"2";"5";"3";"2";"2";"4";"3";"2";"2"
"72";-2,44;428;-54,7;"PA";"Santarem, PA";"out";"Nao";1977;30;"masculino";2006-09-01;45;"4";"2";"1";"2";"2";"2";"3";"1";"2";"2";"6";"2";"2";"3";"1";"2";"3";"3";"2"
"73";-2,53;391;-44,3;"MA";"Sao Luis, MA";"inv";"Nao";1950;57;"feminino";2005-05-01;54;"4";"3";"3";"2";"2";"2";"3";"2";"4";"3";"6";"0";"1";"1";"4";"3";"3";"4";"4"
"74";-2,53;403;-44,3;"MA";"Sao Luis , MA";"out";"Nao";1973;34;"feminino";2006-08-01;64;"4";"4";"3";"4";"4";"4";"4";"2";"4";"4";"6";"2";"1";"2";"1";"4";"1";"4";"6"
"75";-2,53;419;-44,3;"MA";"Sao Luis, MA";"inv";"Nao";1969;38;"masculino";2005-04-01;48;"3";"1";"3";"3";"4";"4";"3";"4";"3";"2";"4";"2";"1";"1";"1";"1";"1";"3";"4"
"76";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1984;23;"feminino";2006-09-01;32;"2";"1";"1";"1";"2";"1";"2";"2";"2";"3";"2";"2";"2";"3";"1";"2";"1";"2";"0"
"77";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1968;39;"masculino";2006-09-01;38;"3";"2";"3";"2";"3";"2";"2";"3";"3";"1";"2";"0";"1";"1";"2";"1";"3";"4";"0"
"78";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1977;30;"masculino";2006-09-01;56;"4";"3";"3";"2";"3";"4";"3";"4";"1";"3";"6";"3";"1";"4";"1";"4";"3";"4";"0"
"79";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1978;29;"feminino";2006-09-01;32;"2";"2";"1";"1";"2";"3";"1";"1";"3";"3";"0";"2";"1";"1";"3";"1";"1";"2";"2"
"80";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1975;32;"masculino";2006-09-01;43;"3";"2";"2";"3";"3";"2";"2";"4";"2";"2";"0";"3";"2";"3";"1";"2";"3";"2";"2"
"81";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1969;38;"masculino";2006-09-01;40;"3";"1";"2";"2";"3";"2";"2";"3";"2";"2";"2";"5";"1";"1";"1";"2";"1";"3";"2"
"82";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1984;23;"feminino";2006-09-01;66;"4";"5";"4";"3";"3";"3";"2";"4";"4";"5";"6";"2";"3";"1";"4";"2";"3";"2";"6"
"83";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1979;28;"masculino";2006-09-01;45;"2";"3";"3";"2";"3";"4";"2";"4";"2";"2";"2";"2";"3";"1";"2";"3";"2";"3";"0"
"84";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1975;32;"feminino";2006-09-01;18;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"0";"0";"2";"1";"1";"1";"1";"1";"0"
"85";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1989;18;"masculino";2006-09-01;49;"4";"3";"3";"3";"4";"1";"2";"2";"4";"3";"6";"2";"1";"1";"1";"2";"3";"2";"2"
"86";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1985;22;"feminino";2006-09-01;43;"2";"2";"1";"2";"2";"1";"3";"3";"3";"2";"6";"3";"1";"1";"2";"1";"3";"3";"2"
"87";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1984;23;"feminino";2006-09-01;31;"1";"1";"1";"1";"3";"4";"3";"3";"2";"2";"0";"0";"1";"1";"2";"3";"1";"2";"0"
"88";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1989;18;"feminino";2006-09-01;61;"4";"2";"4";"4";"2";"3";"3";"2";"4";"4";"6";"2";"3";"4";"4";"2";"3";"1";"4"
"89";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1988;19;"masculino";2006-09-01;45;"3";"3";"3";"2";"2";"2";"1";"2";"2";"3";"4";"2";"2";"2";"1";"1";"3";"3";"4"
"90";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1987;20;"feminino";2006-09-01;57;"4";"4";"3";"3";"3";"2";"1";"2";"4";"4";"2";"3";"3";"3";"4";"3";"3";"2";"4"
"91";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1987;20;"feminino";2006-09-01;68;"4";"4";"3";"3";"4";"4";"4";"2";"4";"4";"6";"2";"4";"1";"4";"4";"3";"4";"4"
"92";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1986;21;"feminino";2006-09-01;23;"1";"1";"1";"1";"1";"3";"2";"1";"1";"1";"2";"0";"1";"1";"2";"2";"1";"1";"0"
"93";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1985;22;"feminino";2006-09-01;19;"1";"1";"1";"1";"1";"1";"2";"3";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"0"
"94";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1983;24;"feminino";2006-09-01;33;"3";"3";"2";"2";"2";"3";"2";"1";"2";"2";"0";"2";"1";"2";"1";"2";"1";"2";"0"
"95";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1980;27;"feminino";2006-09-01;49;"3";"2";"2";"3";"3";"4";"3";"2";"2";"2";"6";"0";"2";"2";"3";"2";"3";"1";"4"
"96";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1983;24;"masculino";2006-09-01;49;"3";"3";"3";"2";"2";"3";"3";"3";"3";"3";"2";"2";"2";"2";"1";"2";"3";"3";"4"
"97";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1966;41;"masculino";2006-09-01;52;"2";"2";"3";"2";"4";"4";"4";"2";"2";"2";"6";"2";"2";"4";"4";"1";"1";"3";"2"
"98";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1983;24;"feminino";2006-09-01;56;"4";"4";"3";"2";"3";"3";"3";"2";"4";"4";"2";"2";"2";"3";"4";"2";"2";"3";"4"
"99";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1974;33;"masculino";2006-09-01;32;"4";"3";"1";"1";"1";"1";"1";"1";"1";"4";"2";"3";"1";"1";"1";"2";"1";"3";"0"
"100";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1986;21;"feminino";2006-09-01;26;"2";"1";"1";"2";"3";"4";"2";"1";"1";"2";"0";"0";"1";"1";"1";"1";"2";"1";"0"
"101";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1988;19;"feminino";2006-09-01;51;"3";"3";"1";"4";"4";"4";"4";"2";"2";"1";"4";"3";"1";"4";"2";"4";"1";"2";"2"
"102";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1983;24;"feminino";2006-09-01;42;"3";"3";"1";"2";"2";"2";"2";"1";"2";"3";"2";"3";"1";"1";"3";"3";"1";"3";"4"
"103";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1983;24;"masculino";2006-09-01;46;"4";"3";"1";"2";"2";"1";"1";"1";"2";"3";"6";"0";"2";"1";"4";"4";"3";"4";"2"
"104";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1980;27;"feminino";2006-09-01;35;"3";"3";"2";"2";"1";"3";"1";"2";"1";"3";"2";"3";"1";"2";"1";"2";"1";"2";"0"
"105";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1973;34;"feminino";2006-09-01;35;"3";"1";"2";"1";"2";"1";"1";"2";"3";"2";"0";"3";"2";"2";"1";"1";"3";"3";"2"
"106";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1960;47;"feminino";2006-09-01;52;"4";"3";"3";"3";"3";"3";"3";"2";"4";"3";"6";"2";"2";"1";"1";"1";"3";"3";"2"
"107";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1956;51;"feminino";2006-09-01;58;"3";"4";"2";"2";"1";"3";"1";"4";"2";"4";"6";"3";"2";"3";"3";"4";"3";"4";"4"
"108";-2,53;427;-44,1;"MA";"Paco do Lumiar, MA";"out";"Nao";1984;23;"masculino";2006-09-01;39;"3";"4";"2";"1";"2";"1";"1";"2";"3";"3";"4";"2";"1";"2";"1";"3";"1";"1";"2"
"109";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1976;31;"masculino";2006-09-01;28;"3";"1";"1";"1";"1";"2";"1";"1";"2";"2";"0";"2";"2";"3";"1";"1";"1";"1";"2"
"110";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1974;33;"feminino";2006-09-01;37;"2";"3";"1";"1";"2";"3";"2";"2";"1";"2";"2";"2";"1";"1";"2";"3";"2";"3";"2"
"111";-2,53;427;-44,3;"MA";"Sao Luis, MA";"out";"Nao";1979;28;"masculino";2006-09-01;59;"4";"3";"4";"3";"3";"3";"4";"2";"4";"3";"6";"0";"1";"1";"4";"3";"3";"4";"4"
"112";-2,53;437;-44,3;"MA";"Sao Luis, MA";"prim";"Nao";1982;25;"feminino";2006-10-01;44;"3";"3";"2";"2";"3";"3";"2";"2";"1";"3";"2";"2";"1";"1";"2";"4";"3";"3";"2"
"113";-2,53;437;-44,3;"MA";"Sao Luis, MA";"prim";"Nao";1974;33;"feminino";2006-10-01;45;"3";"1";"3";"2";"3";"2";"3";"1";"2";"2";"6";"0";"1";"3";"1";"3";"3";"4";"2"
"114";-2,53;437;-44,3;"MA";"Sao Luis, MA";"prim";"Nao";1985;22;"feminino";2006-10-01;62;"2";"3";"4";"3";"3";"3";"3";"1";"4";"3";"6";"2";"3";"3";"4";"3";"3";"3";"6"
"115";-2,53;437;-44,3;"MA";"Sao Luis, MA";"prim";"Nao";1979;28;"masculino";2006-10-01;49;"4";"3";"3";"3";"2";"3";"2";"2";"2";"4";"0";"2";"2";"2";"1";"2";"3";"3";"6"
"116";-2,53;437;-44,3;"MA";"Sao Luis, MA";"prim";"Nao";1974;33;"feminino";2006-10-01;54;"3";"4";"2";"3";"3";"3";"2";"2";"3";"5";"6";"2";"2";"3";"4";"3";"3";"1";"0"
"117";-2,53;437;-44,3;"MA";"Sao Luis, MA";"prim";"Nao";1964;43;"feminino";2006-10-01;58;"3";"4";"3";"3";"3";"1";"3";"3";"3";"3";"6";"2";"3";"2";"1";"3";"3";"3";"6"
"118";-2,53;437;-44,3;"MA";"Sao Luis, MA";"prim";"Nao";1955;52;"feminino";2006-10-01;65;"4";"5";"4";"2";"2";"2";"2";"4";"3";"5";"6";"3";"2";"4";"3";"3";"1";"4";"6"
"119";-2,53;437;-44,3;"MA";"Sao Luis, MA";"prim";"Nao";1952;55;"feminino";2006-10-01;31;"2";"2";"2";"2";"3";"1";"1";"2";"1";"2";"2";"0";"1";"2";"1";"3";"1";"3";"0"
"120";-2,53;437;-44,3;"MA";"Sao Luis, MA";"prim";"Nao";1972;35;"feminino";2006-10-01;NA;"4";"4";"3";"4";"4";"4";"3";"2";"3";"3";NA;"3";"3";"3";"1";"3";"1";"4";"2"
